Date,Close,High,Low,Open,Volume
2005-01-03,33.652950286865234,34.32601007260751,33.54219283161153,34.155614737606584,100970900
2005-01-04,33.039512634277344,33.8574092024691,32.843559229924686,33.79776810112607,136623200
2005-01-05,32.83504867553711,33.19287586789194,32.775410810144635,32.95432440632205,127925500
2005-01-06,32.67317581176758,32.97988672969102,32.66465750850096,32.9117305534971,102934600
2005-01-07,32.843563079833984,33.116194217849234,32.55389208944034,32.852084631032945,123104000
2005-01-10,32.82653045654297,33.116201510728224,32.707254713646726,32.74985272896392,88764200
2005-01-11,32.596492767333984,32.800967762616146,32.43461903149963,32.69021033808748,106398800
2005-01-12,32.869136810302734,32.88617341905083,32.38350896044262,32.74133949454679,127754900
2005-01-13,32.434608459472656,33.099146289999624,32.383488914809526,32.86911646406239,101982400
2005-01-14,32.7413444519043,32.81802220296347,32.536869365739435,32.54539092142447,93460900
2005-01-18,32.9884033203125,33.04804118426808,32.562416720618465,32.61353303256905,91760400
2005-01-19,32.443153381347656,33.01397408289994,32.42611352085073,32.99693422240301,104981000
2005-01-20,31.821197509765625,32.21310764919155,31.79563935394082,32.076792068092914,120963900
2005-01-21,31.565616607666016,31.991603345286396,31.51450027916494,31.931965462021218,138569200
2005-01-24,31.12259864807129,31.6934227249157,31.06296074825465,31.62526326796995,137499000
2005-01-25,31.27593231201172,31.59968300613503,31.23333430621064,31.32705186898472,119171300
2005-01-26,31.650806427001953,31.770082157813818,31.369653704356917,31.48892943516878,107465800
2005-01-27,31.608217239379883,31.753054432132014,31.412263713909123,31.59969893393383,103654700
2005-01-28,31.454853057861328,31.7530456664936,31.199261714762414,31.710447650980495,111648600
2005-01-31,31.863813400268555,31.974567626377112,31.744534368271072,31.829733676840704,89139900
2005-02-01,31.96603012084961,32.07678753045551,31.83823285976439,31.94047196864031,76610300
2005-02-02,32.01714324951172,32.14493723492959,31.7871101757371,32.06825954367139,100160500
2005-02-03,31.650806427001953,31.872318034221145,31.523009143977863,31.84675987762429,90157900
2005-02-04,32.1619873046875,32.22162516684031,31.650804700514932,31.650804700514932,99302000
2005-02-07,32.093807220458984,32.29828208044583,31.96601327673264,32.2045645717026,71551400
2005-02-08,32.15348815917969,32.38351819308949,32.05124897741791,32.08532870467184,72821700
2005-02-09,31.616727828979492,32.20458820149973,31.57412981648151,32.179030044004946,93276600
2005-02-10,31.650806427001953,31.795640314410672,31.420773267570535,31.74452075119705,110373000
2005-02-11,32.119407653808594,32.2472017528824,31.463387545160664,31.548583611209864,108684100
2005-02-14,32.26420974731445,32.32384758464629,32.11085437988448,32.11937592808524,54908900
2005-02-15,32.47723388671875,32.78394491372168,32.221642447556796,32.28980189801144,131406500
2005-02-16,32.35795593261719,32.511311435854054,32.23016184660064,32.40055396128937,80273900
2005-02-17,31.923419952392575,32.49424013434543,31.889340262420376,32.41756245691703,115628300
2005-02-18,31.821197509765625,32.008632652533684,31.7445197922714,31.93195493503946,69158800
2005-02-22,31.429311752319336,31.99161430867609,31.344115675607284,31.54858755972501,121232000
2005-02-23,31.471895217895508,31.582652666353532,31.267423428456617,31.557094505178792,95010100
2005-02-24,31.87232208251953,31.89788024236268,31.318538119102197,31.395215848651976,99334600
2005-02-25,32.051246643066406,32.11940609261008,31.77009703875236,31.846774794478268,79988700
2005-02-28,31.7104434967041,32.034190972206886,31.454848937069503,31.914915244387984,95731300
2005-03-01,32.05975341796875,32.119391283812426,31.80416210006445,31.838238559103736,78460600
2005-03-02,32.042724609375,32.39203362259783,31.829731229360565,31.87232925535924,107270600
2005-03-03,31.778581619262695,32.14493014671144,31.540030299070207,32.127890302409405,89793800
2005-03-04,31.96603012084961,32.16198353783276,31.863794261993046,32.03418627674753,86622300
2005-03-07,32.42611312866211,32.622066646975156,32.00012637145435,32.034202842014984,93563900
2005-03-08,32.102352142333984,32.55389692232854,32.07679398498185,32.38350162326758,89595200
2005-03-09,32.008636474609375,32.31534738120989,31.9234404450071,32.09383250421165,98063000
2005-03-10,31.96603012084961,32.093824131915476,31.591163138362635,32.042707827496876,97043600
2005-03-11,31.667848587036133,32.22163257726708,31.5400545316124,32.110875129216794,102857500
2005-03-14,31.812685012817383,31.82972486981652,31.54857210436137,31.727488977842107,65576200
2005-03-15,31.557100296020508,31.931967478794956,31.514502269572223,31.88084789704436,93856300
2005-03-16,31.199268341064453,31.67637466619486,31.12259059684744,31.44634143354382,159578000
2005-03-17,31.27593231201172,31.42928773291121,31.131098442284156,31.190736300409565,100429600
2005-03-18,31.105560302734375,31.344115163671464,30.9692446322083,31.31003543353446,108899400
2005-03-21,31.16517639160156,31.31001025317158,30.884023719114825,31.18221299294682,92752500
2005-03-22,30.78179359436035,31.310016084971984,30.76475373982192,31.1907403532229,114016300
2005-03-23,30.89253616333008,31.08849279186469,30.7306624810827,30.74770232921696,97444900
2005-03-24,30.90106773376465,31.224818453271965,30.90106773376465,31.003303605707043,77566800
2005-03-28,30.960708618164062,31.190741789999276,30.935150460189067,31.020346486785773,59739000
2005-03-29,30.713626861572266,31.16517477425202,30.619909308940255,30.901061966836284,119554300
