Date,Close,High,Low,Open,Volume
2005-01-03,81.38369750976562,82.37139593737196,81.1130939988782,82.2360916012619,55748000
2005-01-04,80.38926696777344,81.54609243943976,80.12542985114787,81.49197068184097,69167600
2005-01-05,79.83454895019531,80.67341572725856,79.82778243871287,80.32839590035783,65667300
2005-01-06,80.24044799804688,80.60576218031059,80.00367172102477,80.12544311511267,47814700
2005-01-07,80.12543487548828,80.6598756522856,79.91571434197591,80.48398250972738,55847700
2005-01-10,80.50428009033203,80.815472486447,80.0577832863396,80.0577832863396,56563300
2005-01-11,79.94950103759766,80.32834284903977,79.82096321100154,80.2606932629012,63099700
2005-01-12,80.2133560180664,80.39601045771987,79.50302230104286,80.09835117971669,72720500
2005-01-13,79.57068634033203,80.32160887341647,79.48950371250274,80.2607206122109,55537500
2005-01-14,79.9900894165039,80.18627682840345,79.66536933988799,79.80743501857403,42032500
2005-01-18,80.82223510742188,80.92371211811229,79.79394230238394,79.86159708373432,57391700
2005-01-19,79.97660827636719,80.85606372875989,79.9698417654302,80.79518061433369,54378900
2005-01-20,79.48951721191406,79.96306971800415,79.34745146008704,79.75335434549785,72049300
2005-01-21,79.00244140625,79.82778029956775,78.91449740467884,79.68571453025932,63160400
2005-01-24,78.84686279296875,79.38129857682213,78.72509137303507,79.21217189143296,58441900
2005-01-25,79.07008361816406,79.46922516611546,78.96184525417858,79.09038315016325,68245000
2005-01-26,79.30684661865234,79.5571506804811,79.17830875252352,79.36772971650231,57195100
2005-01-27,79.44216918945312,79.6586510921248,79.13774328803024,79.27980905278329,55878800
2005-01-28,79.44216918945312,79.52335183845588,78.8874339912735,79.48275793328666,60738900
2005-01-31,79.93598937988281,79.99687247134264,79.63155843858281,79.79391851047596,52532700
2005-02-01,80.44338989257812,80.5583947581431,79.89541612127535,79.99689312791179,49841200
2005-02-02,80.68693542480469,80.90341731831482,80.43663129997651,80.54486966606386,52468900
2005-02-03,80.47723388671875,80.6125383192739,80.21339669490668,80.54488352232815,48837100
2005-02-04,81.33638763427734,81.47168688449533,80.49075441707605,80.50428227756362,50024600
2005-02-07,81.22813415527344,81.53256001164209,81.15371802836823,81.34990553008788,45412000
2005-02-08,81.32284545898438,81.62050996956233,81.22813496222501,81.29578457971957,39263500
2005-02-09,80.7139892578125,81.51226713816698,80.67340051924134,81.46491188938896,55279400
2005-02-10,81.00487518310547,81.19429614997546,80.68015500028099,80.95075859352421,45858600
2005-02-11,81.70169067382812,81.88435032574823,80.81546877856701,80.9778288992353,53133000
2005-02-14,81.64080047607422,81.76257184633711,81.50550124748644,81.64756698590402,32432100
2005-02-15,81.94522857666016,82.148182586463,81.64080272329075,81.72198535947886,43852700
2005-02-16,81.99933624267578,82.16846283466909,81.63402218461016,81.80991528545671,55523000
2005-02-17,81.33638763427734,82.08054383314737,81.32962112336578,82.01289420803839,58124000
2005-02-18,81.44462585449219,81.50551412991476,81.11313907912435,81.34314883634494,47723300
2005-02-22,80.23365783691406,81.49872666030102,80.22012997992992,81.11311821957536,80697600
2005-02-23,80.80868530273438,80.88986792669219,80.24718892802863,80.4569042549187,68292600
2005-02-24,81.3431625366211,81.39728431025986,80.49076782782438,80.66665585014574,68563600
2005-02-25,82.148193359375,82.31055349170826,81.30256014319158,81.36344325731572,60899900
2005-02-28,81.60699462890625,82.0602580031198,81.20785818628356,81.95878097422614,69381300
2005-03-01,82.01290130615234,82.20908368754709,81.70847022481041,81.73553110946321,47294400
2005-03-02,81.9722900390625,82.48643641591173,81.6205089357456,81.69492506244752,64226500
2005-03-03,82.0061264038086,82.46615107316447,81.65434010065296,82.30379094319636,61230800
2005-03-04,83.02764129638672,83.09529091108904,82.39172356324835,82.56761669054221,56168500
2005-03-07,83.06820678710938,83.37939905672376,82.80436975066819,82.98026282874008,43442400
2005-03-08,82.75701904296875,83.21027703688864,82.6081868273333,82.98702871343546,44362000
2005-03-09,81.83699798583984,82.72998642327528,81.83023147518193,82.51350453424048,73263600
2005-03-10,82.01963806152344,82.19553117835447,81.45137513822473,81.99257718498524,65149000
2005-03-11,81.44462585449219,82.34438083468328,81.28903223315722,82.06701066250318,57976500
2005-03-14,81.95198822021484,81.96552123911307,81.37019227961711,81.5934406394281,36336400
2005-03-15,81.2754898071289,82.16847817309475,81.23490106910067,82.14141729396428,62438500
2005-03-16,80.58544158935547,81.28900884169512,80.43660936041172,80.97781136590326,74874200
2005-03-17,80.7478256225586,81.00489626430743,80.49075498080974,80.7139982290994,62584200
2005-03-18,80.50808715820312,81.18045795023298,80.24321365886988,80.89521036350628,60232000
2005-03-21,80.20921325683594,80.67104467256208,79.97830013977618,80.62350343189644,61244300
2005-03-22,79.39424896240234,80.77295064224099,79.39424896240234,80.39262057376372,92472400
2005-03-23,79.46215057373047,79.95114925247219,79.29235965370113,79.42819031708153,70817300
2005-03-24,79.5572280883789,80.13451614397712,79.50289375378894,79.77456024513144,51932500
2005-03-28,79.67269134521484,80.10056778898706,79.67269134521484,79.7473997661399,46765500
2005-03-29,79.14292907714844,80.0733850227766,78.9527641087822,79.55721926463488,71160300
2005-03-30,80.26358032226562,80.27716131873534,79.30595685047545,79.31274993951469,62002100
2005-03-31,80.11418151855469,80.45376350456837,80.05305924824496,80.27039151202933,64575400
2005-04-01,79.75419616699219,80.81368991633038,79.40103331108213,80.56919056162033,95255300
2005-04-04,79.8899917602539,80.04620162779874,79.28553672696452,79.70661991554152,71581200
2005-04-05,80.27032470703125,80.3993622308302,79.91715683379952,79.99186522307525,46853900
2005-04-06,80.548828125,80.78653442600087,80.26358056379895,80.44695251553999,53268200
